folder,verified_gallery_id,candidate_gallery_ids,indexed_asset_records,original_records,thumbnail_records,known_archived_unique_basenames,drive_originals_verified,status,source_run_id,source_artifact_id,drive_status
90-rokov-volkl,,,2,0,2,2,0,THUMBNAIL_EVIDENCE_ONLY,33899806543,9947182649,pending
a-basin,,,9,0,9,9,0,THUMBNAIL_EVIDENCE_ONLY,33899806543,9947182649,pending
elbrus-vystup,,,26,0,26,26,0,THUMBNAIL_EVIDENCE_ONLY,33899806543,9947182649,pending
freeride-kemp-1-rocnik,,,107,0,107,107,0,THUMBNAIL_EVIDENCE_ONLY,33899806543,9947182649,pending
freeride-kemp-2013,,,18,0,18,18,0,THUMBNAIL_EVIDENCE_ONLY,33899806543,9947182649,pending
freeridove-lyze-2011,,,5,0,5,5,0,THUMBNAIL_EVIDENCE_ONLY,33899806543,9947182649,pending
heiligenblut-grossglockner,,,17,0,17,17,0,THUMBNAIL_EVIDENCE_ONLY,33899806543,9947182649,pending
hrustin-ski-zabava,,,6,0,6,6,0,THUMBNAIL_EVIDENCE_ONLY,33899806543,9947182649,pending
ischgl-032014,,214;215;216,22,5,17,18,5,PARTIAL_RECOVERY,33899806543,9947182649,verified
ischgl-galtur-032014,,214;215;216,5,1,4,4,1,PARTIAL_RECOVERY,33899806543,9947182649,verified
ischgl-kappl-032014,,214;215;216,4,0,4,4,0,THUMBNAIL_EVIDENCE_ONLY,33899806543,9947182649,pending
ispo-winter-2014,,,75,0,75,75,0,THUMBNAIL_EVIDENCE_ONLY,33899806543,9947182649,pending
julia-mancuso,,,13,0,13,13,0,THUMBNAIL_EVIDENCE_ONLY,33899806543,9947182649,pending
kaprun-2010,80,,1,1,0,1,1,RECOVERED_ARCHIVED_ORIGINAL_COMPLETENESS_UNKNOWN,33899806543,9947182649,verified
kitzbuhel-2014,218,,27,2,25,27,2,PARTIAL_RECOVERY,33899806543,9947182649,verified
lyzovacka-v-stredisku-wagrain,,,6,0,6,6,0,THUMBNAIL_EVIDENCE_ONLY,33899806543,9947182649,pending
martinky-1009,,,8,0,8,8,0,THUMBNAIL_EVIDENCE_ONLY,33899806543,9947182649,pending
racibor,58,,24,12,12,12,12,COMPLETE,33899806543,9947182649,verified
ski-amade,,,1,0,1,1,0,THUMBNAIL_EVIDENCE_ONLY,33899806543,9947182649,pending
snehove-gejziry-mesiaca-enceladus,,,3,0,3,3,0,THUMBNAIL_EVIDENCE_ONLY,33899806543,9947182649,pending
zuberec-janovky,127,,12,6,6,6,6,COMPLETE_ARCHIVED_SET,33899806543,9947182649,verified
